nconst,category,primaryName,birthYear,deathYear,num_movies,avg_rating,rating_stddev,total_votes,weighted_avg_rating,good_movies,great_movies,first_movie_year,last_movie_year
nm0504803,actor,Al Lettieri,1928,1975,10,6.51,1.08,2252145.0,9.13,2,1,1967,1975
nm0926235,actor,James Whitmore,1921,2009,31,6.68,0.83,3557843.0,9.08,9,2,1949,2002
nm0549134,actor,John Marley,1907,1984,16,6.56,1.0,2302343.0,9.07,4,1,1956,1982
nm0002017,actor,Richard Conte,1910,1975,32,6.78,0.62,2320686.0,9.06,9,1,1943,1974
nm0755974,actor,Jonathan Sagall,1959,\N,11,6.01,1.04,1581365.0,8.96,1,1,1978,1993
nm0001430,actor,Jack Klugman,1922,2012,10,6.8,0.95,995902.0,8.93,3,1,1956,2005
nm0311155,actor,Michael V. Gazzo,1923,1995,10,6.28,1.07,1511902.0,8.92,1,1,1974,1989
nm0004743,actor,Gil Bellows,1967,\N,26,5.78,1.01,3621699.0,8.86,3,1,1994,2021
nm0001330,actor,Sterling Hayden,1916,1986,23,6.92,0.87,3046399.0,8.86,8,2,1949,1981
nm0083081,actor,Edward Binns,1916,1990,11,6.98,1.16,1085496.0,8.83,6,2,1953,1982
nm0218810,actor,Jeffrey DeMunn,1947,\N,18,6.47,0.95,3964533.0,8.78,5,1,1980,2011
nm0482851,actor,Phil LaMarr,1967,\N,10,6.74,1.26,2439180.0,8.76,7,1,1994,2024
nm0003225,actor,Ed Begley,1901,1970,25,6.83,0.74,1105372.0,8.73,11,1,1947,1970
nm0411980,actor,Mark Ivanir,1968,\N,10,6.15,1.43,1713004.0,8.71,2,1,1991,2024
nm0001679,actor,Mark Rolston,1956,\N,21,5.6,1.43,4640105.0,8.69,3,2,1986,2020
nm0101710,actor,Billy Boyd,1968,\N,16,6.02,1.54,4483884.0,8.65,3,2,2001,2025
nm0109175,actor,Richard Bright,1937,2006,16,6.69,0.99,1792694.0,8.61,6,1,1959,1999
nm0275835,actor,John Fiedler,1925,2005,16,6.66,0.98,1229173.0,8.59,5,2,1957,2005
nm0762844,actor,Sankaradi,1924,2001,11,8.24,0.55,40087.0,8.59,11,6,1985,1993
nm0819525,actor,G.D. Spradlin,1920,2011,15,6.76,1.0,2593142.0,8.57,4,2,1970,1995
nm0866658,actor,Milivoje 'Mica' Tomic,1920,2000,11,8.15,0.49,65020.0,8.56,11,7,1965,1984
nm0685559,actor,Luigi Pistilli,1929,1996,15,6.83,0.95,1246905.0,8.55,7,2,1965,1976
nm0110480,actor,Peter Brocco,1903,1992,11,6.55,1.1,1180044.0,8.55,3,1,1950,1982
nm0001625,actress,Amanda Plummer,1957,\N,24,6.05,0.79,2655169.0,8.54,2,1,1980,2021
nm0001533,actor,Meat Loaf,1947,2022,16,5.88,1.22,2874856.0,8.53,2,1,1975,2014
nm0687189,actress,Suzanne Pleshette,1937,2008,21,6.81,1.0,4046840.0,8.52,5,4,1958,2001
nm0594348,actor,Seiji Miyaguchi,1913,1985,11,7.6,0.7,441767.0,8.52,10,3,1945,1984
nm0000008,actor,Marlon Brando,1924,2004,39,6.7,0.94,4004040.0,8.51,18,3,1950,2001
nm0001976,actor,Horst Buchholz,1933,2003,11,6.45,1.43,853956.0,8.5,4,1,1959,1997
nm0001812,actor,Lee Van Cleef,1925,1989,37,6.29,1.15,2358875.0,8.47,13,3,1952,1984
nm0006669,actor,William Sadler,1950,\N,35,5.81,1.16,4671691.0,8.47,4,1,1990,2022
nm0348409,actor,Bob Gunton,1945,\N,23,6.33,1.13,4622330.0,8.47,7,1,1981,2024
nm0618690,actor,Matheus Nachtergaele,1969,\N,17,6.86,0.85,975326.0,8.47,6,3,1997,2024
nm0340260,actor,Zach Grenier,\N,\N,11,6.4,1.22,3024104.0,8.47,4,1,1988,2017
nm0000276,actor,Sean Astin,1971,\N,53,5.82,1.28,7820972.0,8.45,6,3,1985,2025
nm0000027,actor,Alec Guinness,1914,2000,43,7.14,0.74,4106159.0,8.45,24,7,1946,1995
nm0954076,actor,Michal Zebrowski,1972,\N,10,6.0,1.29,1015598.0,8.45,3,1,1999,2016
nm0002011,actor,Lee J. Cobb,1911,1976,37,6.86,0.65,1821011.0,8.44,15,3,1939,1973
nm0750916,actor,William Russ,1950,\N,11,5.93,1.12,1285620.0,8.44,1,1,1977,2023
nm0858128,actor,Thilakan,1935,2012,25,8.18,0.5,107199.0,8.42,25,17,1986,2012
nm0077720,actor,Michael Berryman,1948,\N,17,4.82,1.33,1199439.0,8.42,1,1,1975,2021
nm1310525,actor,Lee Sun-kyun,1975,2023,13,6.63,0.78,1172193.0,8.42,2,1,2004,2023
nm0007214,actor,Frank Albertson,1909,1964,11,7.04,0.71,830063.0,8.42,5,1,1935,1960
nm0807548,actress,Brooke Smith,\N,\N,10,6.63,1.01,1862296.0,8.42,3,1,1991,2018
nm0881292,actor,Oduvil Unnikrishnan,1944,2006,11,8.13,0.6,36910.0,8.41,11,8,1989,2004
nm1525639,actress,Joséphine de Meaux,1977,\N,10,6.47,1.01,1057251.0,8.41,2,1,2006,2024
nm2346665,actor,Chinmay Mandlekar,1979,\N,10,7.72,0.81,630695.0,8.41,8,5,2010,2023
nm0297869,actor,Kamatari Fujiwara,1905,1985,13,7.47,0.77,624960.0,8.4,9,6,1950,1981
nm8135195,actress,Rajisha Vijayan,1991,\N,11,7.06,1.0,283753.0,8.4,7,2,2016,2025
nm0000704,actor,Elijah Wood,1981,\N,41,6.38,1.03,8938415.0,8.39,9,4,1990,2025
nm0757064,actor,S.Z. Sakall,1883,1955,16,6.92,0.61,704834.0,8.39,6,1,1941,1954
nm0832380,actor,Ed Stoppard,1974,\N,10,5.55,1.38,1031103.0,8.39,1,1,2002,2022
nm0912478,actor,H.B. Warner,1876,1958,16,7.07,0.83,765416.0,8.38,8,2,1927,1951
nm5626435,actor,Guru Somasundaram,1975,\N,11,7.55,0.89,311673.0,8.38,9,4,2010,2025
nm0000751,actress,Suzy Amis,1962,\N,11,6.18,0.98,1283468.0,8.38,1,1,1985,1998
nm0350454,actress,Maggie Gyllenhaal,1977,\N,22,6.61,0.78,5102206.0,8.37,4,2,1993,2018
nm0001656,actress,Donna Reed,1921,1986,19,6.89,0.62,661606.0,8.36,8,1,1941,1956
nm0690450,actress,Kaviyoor Ponnamma,1945,2024,16,8.0,0.98,49123.0,8.36,15,10,1986,2016
nm0441961,actor,Daisuke Katô,1911,1975,11,7.76,0.41,759981.0,8.36,11,4,1950,1967
nm0000020,actor,Henry Fonda,1905,1982,58,6.91,0.86,2037544.0,8.35,29,5,1936,1981
nm0269709,actor,Frank Faylen,1905,1985,22,6.86,0.64,672371.0,8.35,8,1,1944,1968
nm0001079,actor,Scatman Crothers,1910,1986,20,6.34,0.99,2547736.0,8.35,4,2,1964,1985
nm0891998,actor,Conrad Veidt,1893,1943,16,7.13,0.59,784614.0,8.35,10,2,1919,1943
nm0417301,actor,Janakaraj,\N,\N,12,7.98,0.47,120426.0,8.35,12,7,1986,2018
nm0832375,actor,Paolo Stoppa,1906,1988,10,7.45,0.59,457663.0,8.35,8,1,1950,1981
nm0002104,actress,Paulette Goddard,1910,1990,16,7.04,0.75,587224.0,8.34,9,2,1936,1953
nm0225191,actor,George DiCenzo,1940,2010,14,6.22,1.1,1531450.0,8.34,3,1,1979,2001
nm0000122,actor,Charles Chaplin,1889,1977,14,7.81,0.68,1388873.0,8.34,13,8,1914,1959
nm0494504,actress,Anne Le Ny,1962,\N,11,6.55,0.91,1097560.0,8.34,4,1,2000,2021
nm0621870,actress,Adile Nasit,1930,1987,34,7.68,0.95,355189.0,8.33,24,16,1972,1987
nm0550855,actor,E.G. Marshall,1914,1998,23,6.86,0.76,1530733.0,8.33,10,1,1954,1997
nm0654805,actor,Münir Özkul,1925,2018,23,7.56,0.99,219307.0,8.33,17,9,1972,1993
nm2876104,actress,Ryan Bartley,\N,\N,13,7.51,1.56,297503.0,8.33,9,8,2008,2025
nm0094135,actress,Beulah Bondi,1889,1981,32,7.03,0.6,776618.0,8.32,14,3,1931,1959
nm0134073,actor,Enzo Cannavale,1928,2011,13,6.49,0.86,341896.0,8.32,2,1,1962,1990
nm0018685,actor,Richard Alexander,1902,1989,12,7.22,0.65,338674.0,8.32,7,2,1926,1956
nm0904303,actor,Pavle Vuisic,1926,1988,11,8.11,0.4,64176.0,8.32,11,8,1972,1985
nm0446702,actress,Moira Kelly,1968,\N,10,6.89,0.9,1446129.0,8.32,4,1,1992,2001
nm0938231,actor,Frank Wolff,1928,1971,14,6.64,1.07,437301.0,8.31,6,1,1959,1972
nm0001850,actor,Billy Dee Williams,1937,\N,13,6.45,1.33,3193575.0,8.31,4,2,1959,2010
nm0001844,actor,Frank Whaley,1963,\N,29,5.83,1.32,3089645.0,8.3,6,1,1989,2024
nm0005132,actor,Heath Ledger,1979,2008,16,6.92,0.85,5189757.0,8.3,9,1,1999,2009
nm0000473,actress,Diane Keaton,1946,2025,51,6.23,1.1,6005230.0,8.29,12,2,1970,2024
nm0179819,actor,Wendell Corey,1914,1968,22,6.41,1.58,635224.0,8.29,7,1,1947,1968
nm0156928,actor,Minoru Chiaki,1917,1999,12,7.58,0.75,842991.0,8.29,11,5,1950,1966
nm0614165,actor,Cillian Murphy,1976,\N,33,6.86,0.82,11295488.0,8.28,10,4,2001,2025
nm1554735,actor,Charly Hübner,1972,\N,10,6.57,0.87,463633.0,8.28,2,1,2006,2022
nm0002108,actress,Gloria Grahame,1923,1981,25,6.92,0.73,734917.0,8.27,12,1,1945,1979
nm0871287,actor,Henry Travers,1874,1965,24,7.16,0.61,787699.0,8.27,17,1,1933,1946
nm0002113,actor,Sydney Greenstreet,1879,1954,20,7.01,0.5,887661.0,8.27,9,1,1941,1949
nm5481013,actor,Kaito Ishikawa,1993,\N,12,7.38,0.83,438384.0,8.27,10,2,2013,2025
nm0000297,actor,Tom Berenger,1949,\N,47,6.04,1.01,4340712.0,8.26,8,2,1977,2024
nm0728812,actress,Thelma Ritter,1902,1969,17,7.11,0.71,833405.0,8.26,10,2,1950,1967
nm0002233,actor,Erich von Stroheim,1885,1957,11,7.09,0.77,321502.0,8.26,7,2,1919,1950
nm0000859,actor,Lionel Barrymore,1878,1954,36,6.95,0.64,748402.0,8.25,17,1,1926,1952
nm0841797,actress,Gloria Swanson,1899,1983,15,6.81,0.55,284604.0,8.25,5,1,1919,1950
nm0831262,actor,Danilo 'Bata' Stojkovic,1934,2002,13,7.89,0.81,135322.0,8.25,12,7,1971,1999
nm0000380,actor,Robert Duvall,1931,\N,65,6.69,0.85,7162148.0,8.24,26,5,1963,2022
nm1126340,actor,Ryûnosuke Kamiki,1993,\N,23,7.16,0.7,2314883.0,8.24,14,3,2001,2023
nm0587256,actress,Vera Miles,1930,\N,15,6.82,0.93,1064419.0,8.24,5,2,1955,1995
